Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
CSYE7230-Software-Engineering-Project_A3,0,0,19,4,1,2023-09-15T21:44:30Z,2023-10-26T02:01:09Z,TypeScript
pdr-backend,6,1,222,8,6,2023-08-01T07:27:35Z,2023-11-25T01:02:38Z,Python
equal-access,586,11,829,74,17,2020-03-13T15:32:28Z,2023-11-24T20:00:01Z,JavaScript
CompagnieHydromel,2,1,10,0,1,2022-08-28T10:37:53Z,2023-08-08T19:45:48Z,Python
Ocelot-Social,79,51,1618,37,12,2020-10-04T14:37:59Z,2023-11-27T03:55:30Z,TypeScript
commons-idms,0,3,10,0,4,2023-03-27T22:13:16Z,2023-03-27T22:13:16Z,
prime-reportstream,62,192,6366,40,19,2020-10-15T19:03:50Z,2023-11-17T15:22:52Z,Kotlin
docs,127,10,447,288,23,2019-01-02T21:35:06Z,2023-11-08T09:04:52Z,TypeScript
novelWriter,1594,4,555,74,24,2018-09-22T15:40:59Z,2023-11-25T22:46:31Z,Python
web3.unity,849,5,478,225,54,2021-05-22T02:34:49Z,2023-11-15T06:10:50Z,C#
raypass,0,1,3,0,1,2022-10-03T02:24:36Z,2023-11-03T23:38:40Z,TypeScript
saleor-dashboard,733,7,1397,1019,36,2019-06-19T11:43:33Z,2023-11-22T11:27:56Z,TypeScript
vuestic-ui,3123,19,2303,302,30,2019-08-03T11:58:26Z,2023-11-27T13:07:19Z,Vue
decide-part-lorca,1,12,87,0,0,2023-10-23T19:10:47Z,2023-10-27T09:27:49Z,Python
vscode-modal-keys,21,1,52,7,2,2021-04-23T15:18:51Z,2023-11-04T03:22:24Z,JavaScript
korobochnaya-igra,0,5,6,0,1,2023-11-15T08:40:50Z,2023-11-15T08:40:50Z,
spark-rapids,592,30,4400,196,41,2020-05-14T22:56:44Z,2023-11-24T20:02:39Z,Scala
glam,36,2,15,3,5,2020-06-23T02:20:46Z,2023-06-01T00:36:55Z,Clojure
rapid-router,54,14,939,47,37,2014-04-03T10:37:59Z,2023-11-23T08:14:09Z,JavaScript
octoffers,0,2,3,0,1,2023-11-11T18:22:05Z,2023-11-24T10:06:18Z,D2
hylo-evo,32,13,782,10,13,2017-03-06T18:21:23Z,2023-08-20T19:45:30Z,JavaScript
prs,0,1,17,0,1,2023-10-20T16:20:14Z,2023-10-20T16:22:12Z,TypeScript
Catopia,0,2,20,0,1,2023-11-16T02:50:55Z,2023-11-16T02:51:04Z,C#
SoftDev-Rec013-Team07,3,4,32,0,2,2023-11-01T22:48:07Z,2023-11-16T21:59:39Z,EJS
adapt-authoring-authored,0,1,2,0,1,2019-11-29T16:44:38Z,2023-03-02T15:57:02Z,JavaScript
quarto-cli,2709,18,3510,235,25,2020-09-25T13:25:46Z,2023-11-27T18:39:58Z,JavaScript
ckeditor5,7709,14,12449,3520,141,2015-01-08T12:13:59Z,2023-11-27T03:04:19Z,Rich Text Format
vue_component_library,0,20,94,0,7,2023-04-21T12:19:23Z,2023-05-24T12:35:54Z,TypeScript
flotilla,14,5,529,31,7,2021-11-23T08:21:54Z,2023-11-27T11:57:34Z,C#
lifecycle-toolkit,137,7,802,83,7,2022-09-02T08:14:59Z,2023-11-27T11:42:16Z,Go
cli-microsoft365,827,14,2803,299,65,2017-10-12T17:18:21Z,2023-11-26T00:27:05Z,TypeScript
sensenet,162,31,1174,113,19,2016-11-10T14:50:07Z,2023-11-23T19:48:01Z,C#
zkapp-cli,109,1,290,40,26,2021-07-06T21:28:48Z,2023-11-27T07:23:59Z,JavaScript
hackernews-next,0,1,3,0,1,2023-10-28T15:19:27Z,2023-10-31T16:48:34Z,TypeScript
besu-sequencer-plugins,3,29,216,4,18,2023-02-23T01:46:46Z,2023-11-07T04:10:21Z,Java
aerial-annotation,1,2,18,0,8,2023-08-21T02:36:39Z,2023-11-06T07:38:26Z,Jupyter Notebook
interchain-security,129,7,571,81,26,2021-10-06T14:27:45Z,2023-11-27T01:05:00Z,Go
cocktail-heaven,0,0,24,1,1,2023-10-23T20:21:56Z,2023-11-16T20:00:05Z,HTML
organicmaps,7596,33,3448,720,80,2020-12-27T19:02:26Z,2023-11-27T16:32:12Z,C++
controller,0,1,11,0,0,2023-10-11T16:25:27Z,2023-11-27T18:36:53Z,Go
paas-templates,15,45,2197,1,8,2018-03-05T13:09:11Z,2023-11-10T11:03:06Z,Shell
oerelia,0,5,189,1,7,2017-09-11T12:49:43Z,2023-07-18T09:08:08Z,TypeScript
Daybreak,6,4,218,1,4,2021-04-07T17:48:33Z,2023-11-06T16:37:23Z,C#
rdv-insertion,10,35,838,1,3,2021-06-21T11:01:31Z,2023-05-25T15:07:52Z,Ruby
dialog,16,2,33,6,1,2023-11-09T21:48:54Z,2023-11-26T00:32:49Z,Python
2023.2-Dnit-DOC,1,11,79,0,6,2023-08-31T23:06:50Z,2023-09-09T22:45:20Z,Dockerfile
codeforlife-design,0,17,358,0,6,2019-10-29T17:29:14Z,2021-02-12T16:10:40Z,
bookie-backend,1,7,51,0,0,2023-11-06T18:04:07Z,2023-11-15T15:16:51Z,Java
green-energy-hub,38,24,317,6,21,2021-03-19T08:32:45Z,2023-10-17T13:02:46Z,
repo_M01,0,0,30,0,1,2023-10-05T14:22:52Z,2023-10-13T10:19:41Z,
esc-simulator,0,2,34,0,1,2023-06-10T16:44:28Z,2023-10-18T21:12:06Z,Python
harvester,3197,11,3506,369,93,2020-07-14T13:28:34Z,2023-11-27T17:49:27Z,Go
crabpy,5,8,107,3,9,2013-10-23T16:16:04Z,2021-12-10T14:40:41Z,Python
quarkus-langchain4j,14,1,25,11,5,2023-11-13T09:10:27Z,2023-11-27T05:05:56Z,Java
E,0,2,2,0,1,2023-11-22T15:44:45Z,2023-11-22T15:53:49Z,TypeScript
toshi-hazard-store,0,1,24,0,1,2022-05-26T01:41:33Z,2022-05-26T05:25:38Z,Python
bezier-react,141,4,325,36,7,2020-05-11T08:37:56Z,2023-11-21T02:10:11Z,TypeScript
lisk-desktop,584,1,3074,98,34,2017-11-02T15:49:25Z,2023-11-23T14:05:00Z,JavaScript
dissolve,9,7,800,16,10,2015-11-05T15:20:07Z,2023-10-15T19:42:04Z,C++
appsmith,29858,88,16877,3137,287,2020-06-30T04:07:36Z,2023-11-27T19:30:25Z,TypeScript
magical-places-london,0,10,35,1,1,2023-08-31T13:36:06Z,2023-11-21T12:08:40Z,HTML
kamu-cli,246,11,78,8,16,2019-05-19T20:12:35Z,2023-11-17T06:39:34Z,Rust
ows-events,13,1,375,1,3,2023-05-18T10:24:08Z,2023-11-20T14:38:34Z,TypeScript
AdvertiseSphere-BackEnd,0,2,21,0,0,2023-11-16T14:55:42Z,2023-11-18T19:13:03Z,C#
idpd-api-poc,1,1,64,0,4,2023-08-07T15:59:59Z,2023-10-16T07:18:57Z,Python
mdm-explorer,0,4,126,0,10,2022-02-09T09:12:06Z,2023-01-31T19:32:22Z,TypeScript
web09-MagicConch,16,2,182,1,3,2023-11-06T01:28:59Z,2023-11-24T06:56:33Z,TypeScript
NextJS-Sprout,0,1,25,0,2,2023-11-15T09:17:56Z,2023-11-27T15:25:34Z,TypeScript
2023.2-MeasureSoftGram-DOC,2,30,81,0,6,2023-09-11T14:59:26Z,2023-11-01T00:31:18Z,
core,772,50,15132,457,87,2012-03-15T15:24:14Z,2023-11-27T01:02:23Z,Java
skosprovider_heritagedata,3,1,24,1,16,2014-09-23T11:44:21Z,2022-07-12T23:57:25Z,Python
sda-cli,4,2,55,1,12,2022-01-20T10:12:09Z,2023-11-14T10:25:40Z,Go
twake-drive,7,8,133,6,8,2023-03-23T10:00:37Z,2023-11-24T13:18:37Z,TypeScript
PRPs,2,1,12,2,7,2022-01-27T12:50:59Z,2022-07-05T16:05:50Z,Shell
compass,10,1,124,11,13,2022-08-30T23:44:04Z,2023-11-21T02:33:26Z,TypeScript
nim-codex,46,36,289,20,30,2021-01-13T08:06:24Z,2023-10-14T07:11:22Z,Nim
